SampleID	carb_nitro_ratio	ph	tot_nitro	tot_org_carb
94.PH9	8.931730769	6.64	0.104	0.9289
94.PH8	9.195	7.14	0.1	0.9195
94.PH7	8.721596244	7.85	0.1065	0.92885
94.PH6	8.632380952	7.95	0.105	0.9064
94.PH5	8.504901961	8.02	0.102	0.8675
94.PH4	8.351886792	7.97	0.106	0.8853
94.PH3	8.687128713	8.2	0.101	0.8774
94.PH2	8.781553398	8.33	0.103	0.9045
94.PH1	8.64957265	8	0.117	1.012
94.PH19	8.599773243	4.25	0.0882	0.7585
94.PH18	8.641657335	4.39	0.0893	0.7717
94.PH17	8.49744898	4.43	0.098	0.83275
94.PH16	8.610271903	4.73	0.0993	0.855
94.PH15	8.789150461	5.12	0.0977	0.8587
94.PH14	8.710679612	5.2	0.103	0.8972
94.PH13	8.788235294	5.46	0.102	0.8964
94.PH12	8.855087359	5.61	0.0973	0.8616
94.PH11	8.959119497	6.14	0.0954	0.8547
94.PH10	8.976	6.68	0.1	0.8976
94.PH26	8.500551268	4.04	0.0907	0.771
94.PH27	8.741584671	4.1	0.09655	0.844
94.PH24	8.473386183	4.05	0.0883	0.7482
94.PH25	8.720504009	4.06	0.0873	0.7613
94.PH22	8.991421569	4.1	0.0816	0.7337
94.PH23	8.714453584	4.08	0.0851	0.7416
94.PH20	8.785630153	4.09	0.0849	0.7459
94.PH21	8.659327926	4.07	0.0863	0.7473
